Id,Street,Alley,LandContour,Utilities,HouseStyle,YearBuilt,Heating,CentralAir,GarageType,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice
1,Pave,,Lvl,AllPub,2Story,2003,GasA,Y,Attchd,TA,TA,Y,0,61,0,0,0,0,208500
2,Pave,,Lvl,AllPub,1Story,1976,GasA,Y,Attchd,TA,TA,Y,298,0,0,0,0,0,181500
3,Pave,,Lvl,AllPub,2Story,2001,GasA,Y,Attchd,TA,TA,Y,0,42,0,0,0,0,223500
4,Pave,,Lvl,AllPub,2Story,1915,GasA,Y,Detchd,TA,TA,Y,0,35,272,0,0,0,140000
5,Pave,,Lvl,AllPub,2Story,2000,GasA,Y,Attchd,TA,TA,Y,192,84,0,0,0,0,250000
6,Pave,,Lvl,AllPub,1.5Fin,1993,GasA,Y,Attchd,TA,TA,Y,40,30,0,320,0,0,143000
7,Pave,,Lvl,AllPub,1Story,2004,GasA,Y,Attchd,TA,TA,Y,255,57,0,0,0,0,307000
8,Pave,,Lvl,AllPub,2Story,1973,GasA,Y,Attchd,TA,TA,Y,235,204,228,0,0,0,200000
9,Pave,,Lvl,AllPub,1.5Fin,1931,GasA,Y,Detchd,Fa,TA,Y,90,0,205,0,0,0,129900
10,Pave,,Lvl,AllPub,1.5Unf,1939,GasA,Y,Attchd,Gd,TA,Y,0,4,0,0,0,0,118000
11,Pave,,Lvl,AllPub,1Story,1965,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,129500
12,Pave,,Lvl,AllPub,2Story,2005,GasA,Y,BuiltIn,TA,TA,Y,147,21,0,0,0,0,345000
13,Pave,,Lvl,AllPub,1Story,1962,GasA,Y,Detchd,TA,TA,Y,140,0,0,0,176,0,144000
14,Pave,,Lvl,AllPub,1Story,2006,GasA,Y,Attchd,TA,TA,Y,160,33,0,0,0,0,279500
15,Pave,,Lvl,AllPub,1Story,1960,GasA,Y,Attchd,TA,TA,Y,0,213,176,0,0,0,157000
